País,america_latina,ameŕica_norte,europa,africa,ásia
Japão,0,0,0,0,1
Moçambique,0,0,0,1,0
China,0,0,0,0,1
Hong Kong,0,0,0,0,1
Singapura,0,0,0,0,1
Taiwan,0,0,0,0,1
USA,0,1,0,0,0
Coreia do Sul,0,0,0,0,1
Nigéria,0,0,0,1,0
Canadá,0,1,0,0,0
Croácia,0,0,1,0,0
Índia,0,0,0,0,1
Noruega,0,0,1,0,0
Rússia,0,0,1,0,0
Reino Unido,0,0,1,0,0
Irlanda,0,0,1,0,0
Finllândia,0,0,1,0,0
Chile,1,0,0,0,0
Espanha,0,0,1,0,0
Equador,1,0,0,0,0
Israel,0,0,0,0,1
África do Sul,0,0,0,1,0
Rep Dominicana,1,0,0,0,0
México,1,0,0,0,0
Alemanha,0,0,1,0,0
